Task Name,Assignee,Category,Day,Item,Normal Schedule,Parent item,Person,Phase,Project,Public Holiday,Remark,Status,Sub-item,Text,Type,Urgent,Urgent task arrange
Resource / Budget Plan,,BD,,,,,,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,"In team resource + man day (https://app.notion.com/p/In-team-resource-man-day-3cdcd84d8d8f80febf4ae017df162b7a?pvs=21), Outsource vendor (https://app.notion.com/p/Outsource-vendor-3cdcd84d8d8f80e48422dcd7d99ba1a1?pvs=21), Rental + Logistic (https://app.notion.com/p/Rental-Logistic-3cdcd84d8d8f80cea2cae0fcffaead97?pvs=21), Material + Sampling + Packaging (https://app.notion.com/p/Material-Sampling-Packaging-3cdcd84d8d8f8054accbe6fdb649d5eb?pvs=21), Licensing + Insurance (https://app.notion.com/p/Licensing-Insurance-3cdcd84d8d8f803e8795f9775b159b79?pvs=21), Miscellaneous (https://app.notion.com/p/Miscellaneous-3cdcd84d8d8f80aa9e4be08e5328b4c9?pvs=21), Infrastructure Installation + Removal (https://app.notion.com/p/Infrastructure-Installation-Removal-3cdcd84d8d8f8051a0dbede9f08eecae?pvs=21), Hosting + Maintenance (https://app.notion.com/p/Hosting-Maintenance-3cdcd84d8d8f8015ba30dff19ad91622?pvs=21), Contingency Reserve + Management Reserve (https://app.notion.com/p/Contingency-Reserve-Management-Reserve-3cdcd84d8d8f8091b44ed83c83c895ad?pvs=21), Payment Schdeule (https://app.notion.com/p/Payment-Schdeule-3cdcd84d8d8f80178c1fcbd78440b9c3?pvs=21)",,Milestone,,
Pitching Proposal,,BD,,,,,,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,"Profile Strategy / Previous Project (https://app.notion.com/p/Profile-Strategy-Previous-Project-3cdcd84d8d8f805598c5ea6e64cb8287?pvs=21), Market Trend & Opportunities (https://app.notion.com/p/Market-Trend-Opportunities-3cdcd84d8d8f80978326d3e915d00bdf?pvs=21), Story + Key Feature (https://app.notion.com/p/Story-Key-Feature-3cdcd84d8d8f802aa36fcc864f63173e?pvs=21), Graphic + UIUX Style Concept (https://app.notion.com/p/Graphic-UIUX-Style-Concept-3cdcd84d8d8f80fe91b6c03282e64609?pvs=21), Spatial + Visitor Flow + Crowd Control (https://app.notion.com/p/Spatial-Visitor-Flow-Crowd-Control-3cdcd84d8d8f80719d54c629d35f4c06?pvs=21), Program Schematic (https://app.notion.com/p/Program-Schematic-3cdcd84d8d8f80ed88f5fdc56905514c?pvs=21), High Level Schdeule (https://app.notion.com/p/High-Level-Schdeule-3cdcd84d8d8f80f19443cb5a3dac3a19?pvs=21)",,Milestone,,
High Level Schedule,,BD,,,,,,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
In team resource + man day,,"BD, PM",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-3cdcd84d8d8f808f8c85cfeb4e45b15f?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Outsource vendor,,"BD, Construction, Fabrication, Lighting, Liscense/Insurance, Printing, Projection, Video",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-3cdcd84d8d8f808f8c85cfeb4e45b15f?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Spatial + Visitor Flow + Crowd Control,,Spatial,,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-3cdcd84d8d8f8054b4c7d3d278617bf2?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Story + Key Feature,,"Spatial, Story, UIUX/Graphic",,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-3cdcd84d8d8f8054b4c7d3d278617bf2?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Rental + Logistic,,"AVH, Construction, Fabrication, Printing",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-3cdcd84d8d8f808f8c85cfeb4e45b15f?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Licensing + Insurance,,Liscense/Insurance,,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-3cdcd84d8d8f808f8c85cfeb4e45b15f?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Contingency Reserve + Management Reserve,,"BD, PM",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-3cdcd84d8d8f808f8c85cfeb4e45b15f?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Program Schematic,,"Frontend, UIUX/Graphic",,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-3cdcd84d8d8f8054b4c7d3d278617bf2?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Work Breakdown,,PM,,,,,,Kickoff,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Detail Budget,,"AVH, Construction, Fabrication, Liscense/Insurance, PM, Printing",,,,,,Kickoff,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Master Schedule Approval,,PM,,,,,,Kickoff,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Project Folder Setup,,PM,,,,,,Kickoff,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Data Collection,,PM,,,,,,Kickoff,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Payment Schdeule,,"BD, PM",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-3cdcd84d8d8f808f8c85cfeb4e45b15f?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Miscellaneous,,"BD, PM",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-3cdcd84d8d8f808f8c85cfeb4e45b15f?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Infrastructure Installation + Removal,,"AVH, Construction, Fabrication",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-3cdcd84d8d8f808f8c85cfeb4e45b15f?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Hosting + Maintenance,,BD,,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-3cdcd84d8d8f808f8c85cfeb4e45b15f?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
High Level Schdeule,,"BD, PM",,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-3cdcd84d8d8f8054b4c7d3d278617bf2?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Graphic + UIUX Style Concept,,"Backend, Frontend, UIUX/Graphic",,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-3cdcd84d8d8f8054b4c7d3d278617bf2?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Market Trend & Opportunities,,BD,,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-3cdcd84d8d8f8054b4c7d3d278617bf2?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Profile Strategy / Previous Project,,BD,,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-3cdcd84d8d8f8054b4c7d3d278617bf2?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Schematic Sign-Off,,"Client, PM",,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
2nd Schematic Design Proposal,,"PM, Spatial, UIUX/Graphic",,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
UIUX Wireframe + Styleframe,,,,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Prototyping,,,,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Exhibition List,,,,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
System Design,,,,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
5th Payment,,"Client, PM",,,,,,Completion,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Payment-In,,
In Team Retrospective / Lesson Learn,,"BD, Backend, Engine, Frontend, Lighting, PM, Projection, Spatial, Story, UIUX/Graphic, Video",,,,,,Completion,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Project Photos/Video Record,,"PM, Video",,,,,,Completion,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Project Sign-Off & Document,,"Client, PM",,,,,,Completion,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
AVH List & Spec Confirmation,,,,,,,,Detail Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
"Material samples and Catalogues ",,,,,,,,Detail Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Fitting-out Material Schedule,,Construction,,,,,,Detail Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Layout & Shop Drawings Package,,Construction,,,,,,Detail Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
1st Detail Design Proposal,,"PM, Spatial, UIUX/Graphic",,,,,,Detail Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
1st Schematic Design Review,,"Client, PM, Spatial, UIUX/Graphic",,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
2nd Schematic Design Review,,"Client, PM, Spatial, UIUX/Graphic",,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
2nd Payment,,"Client, PM",,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Payment-In,,
3rd Payment,,"Client, PM",,,,,,Detail Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Payment-In,,
Detail Design Sign-Off,,"Client, PM",,,,,,Detail Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
2nd Detail Design Review,,"Client, PM, Spatial, UIUX/Graphic",,,,,,Detail Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
2nd Detail Design Proposal,,"PM, Spatial, UIUX/Graphic",,,,,,Detail Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
1st Detail Design Review,,"Client, PM, Spatial, UIUX/Graphic",,,,,,Detail Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Material Board and Finishes Review,,"Construction, Fabrication, PM, Printing, Spatial, UIUX/Graphic",,,,,,Fab-Sampling,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Material Sampling,,,,,,,,Fab-Sampling,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Fabrication Arrival,,"Construction, Fabrication",,,,,,Fab-Site Work,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Warehousing & Logistic Arrangement,,"Fabrication, PM",,,,,,Fab-Production,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Offsite Factory Production Complete,,"Construction, Fabrication, Printing",,,,,,Fab-Production,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Offsite Factory Production,,"Construction, Fabrication, Printing",,,,,,Fab-Production,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Prototype Confirmation,,"Client, PM",,,,,,Fab-Sampling,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
O&M Manual,,AVH,,,,,,Program-Deployment,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
UAT Sign-Off,,"Client, PM",,,,,,Program-UAT,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
1st UAT (Offsite),,"Backend, Client, Frontend, PM, UIUX/Graphic",,,,,,Program-UAT,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Internal Test,,"Backend, Frontend, PM, UIUX/Graphic",,,,,,Program-SIT,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
System Integration,,"Backend, Frontend, UIUX/Graphic",,,,,,Program-SIT,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Front-end UI Develop,,"Backend, Frontend",,,,,,Program-DEV,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Site Work Sign-Off,,PM,,,,,,Fab-Site Work,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
AVH Setup,,"AVH, Frontend, Lighting, Projection, Sound",,,,,,Fab-Site Work,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Physical Constrution & Installation,,"Construction, Fabrication, Spatial",,,,,,Fab-Site Work,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
1st Prototyping,,"Construction, Engine, Fabrication, Printing",,,,,,Fab-Sampling,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Material Board and Finishes Approval,,Client,,,,,,Fab-Sampling,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Factory QA & Inspection Pass,,"Construction, Engine, Fabrication, PM, Printing, Spatial, UIUX/Graphic",,,,,,Fab-Production,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Site Insurance & Licensing Confirmation,,"Liscense/Insurance, PM",,,,,,Fab-Site Work,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
1st Prototyping Review,,"Client, Construction, Engine, Fabrication, PM, Printing, Spatial, UIUX/Graphic",,,,,,Fab-Sampling,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Material + Sampling + Packaging,,"Construction, Fabrication, Printing",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-3cdcd84d8d8f808f8c85cfeb4e45b15f?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Landlord Arrangement Approval,,PM,,,,,,Fab-Site Work,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Onsite Launch & Support,,"AVH, PM",,,,,,Program-Deployment,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
2nd UAT (Onsite),,"Backend, Client, Frontend, PM, UIUX/Graphic",,,,,,Program-UAT,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
4th Payment,,"Client, PM",,,,,,Program-UAT,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Payment-In,,
,,,,,,,,,,,,Not started,,,Task,,
2nd Prototyping,,"Construction, Engine, Fabrication, Printing",,,,,,Fab-Sampling,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
2nd Prototyping Review,,"Client, Construction, Engine, Fabrication, PM, Printing, Spatial, UIUX/Graphic",,,,,,Fab-Sampling,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
1st UAT Revision,,"Backend, Frontend, UIUX/Graphic",,,,,,Program-UAT,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
2nd UAT Revision,,"Backend, Frontend, UIUX/Graphic",,,,,,Program-UAT,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Tender Submission Period,,BD,,,,,,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Resource / Budget Plan,,BD,,,,,,Pitching,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,"In team resource + man day (https://app.notion.com/p/In-team-resource-man-day-4f3cd84d8d8f8333ab3f01d073a2fe0a?pvs=21), Outsource vendor (https://app.notion.com/p/Outsource-vendor-833cd84d8d8f82bcb09881e0391606d7?pvs=21), Rental + Logistic (https://app.notion.com/p/Rental-Logistic-529cd84d8d8f82a2b4420116604603ea?pvs=21), Material + Sampling + Packaging (https://app.notion.com/p/Material-Sampling-Packaging-618cd84d8d8f82639110019508103fc7?pvs=21), Licensing + Insurance (https://app.notion.com/p/Licensing-Insurance-639cd84d8d8f828c84bc81e6deda564c?pvs=21), Miscellaneous (https://app.notion.com/p/Miscellaneous-86fcd84d8d8f83d29a478146cb4d5b97?pvs=21), Infrastructure Installation + Removal (https://app.notion.com/p/Infrastructure-Installation-Removal-ee7cd84d8d8f823db1e0015ca57a8843?pvs=21), Hosting + Maintenance (https://app.notion.com/p/Hosting-Maintenance-02dcd84d8d8f83c5889b014062c894db?pvs=21), Contingency Reserve + Management Reserve (https://app.notion.com/p/Contingency-Reserve-Management-Reserve-e33cd84d8d8f82acaebf8159908e8e47?pvs=21), Payment Schdeule (https://app.notion.com/p/Payment-Schdeule-603cd84d8d8f82d28d400140a7ca5136?pvs=21)",,Milestone,,
In team resource + man day,,"BD, PM",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-b45cd84d8d8f826bb3ea01cd8a827108?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Outsource vendor,,"BD, Construction, Fabrication, Lighting, Liscense/Insurance, Printing, Projection, Video",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-b45cd84d8d8f826bb3ea01cd8a827108?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Rental + Logistic,,"AVH, Construction, Fabrication, Printing",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-b45cd84d8d8f826bb3ea01cd8a827108?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Material + Sampling + Packaging,,"Construction, Fabrication, Printing",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-b45cd84d8d8f826bb3ea01cd8a827108?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Licensing + Insurance,,Liscense/Insurance,,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-b45cd84d8d8f826bb3ea01cd8a827108?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Miscellaneous,,"BD, PM",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-b45cd84d8d8f826bb3ea01cd8a827108?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Infrastructure Installation + Removal,,"AVH, Construction, Fabrication",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-b45cd84d8d8f826bb3ea01cd8a827108?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Hosting + Maintenance,,BD,,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-b45cd84d8d8f826bb3ea01cd8a827108?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
